stopid,shortname,fullname,latitude,longitude,buses
4714,Citywest Rd,Citywest Rd,53.2887472222,-6.423855,"65B,77A,77X"
4715,Liffey Valley,Liffey Valley,53.3526794444,-6.3955991667,"40,26"
4720,Aston Quay,Aston Quay,53.346615,-6.260275,"69,69X"
4725,O'Connell St,O'Connell St,53.3521111111,-6.2610719444,"7,7A,7D,40B,40D,4,120"
4726,Parnell Square,Parnell Square,53.3542580556,-6.2640761111,"46E,747"
4727,Stillorgan Road,Stillorgan Road,53.2905069444,-6.19723,"7D,7B,84X,46E,46A,118,116,145,155"
4728,Stillorgan Road,Stillorgan Road,53.2933338889,-6.2019730556,"155,145,116,118,46A,46E,47,7B,7D"
4731,Rochestown Ave,Rochestown Ave,53.2758030556,-6.1513380556,7B
4732,Rochestown Ave,Rochestown Ave,53.2758169444,-6.1511361111,7B
4742,Damastown Rd,Damastown Rd,53.4109786111,-6.4201511111,"38B,38A,38"
4743,Damastown Rd,Damastown Rd,53.4116475,-6.42315,"38,38A,38B"
4744,Damastown Drive,Damastown Drive,53.4196069444,-6.4181161111,"38D,38"
4745,Damastown Drive,Damastown Drive,53.4204691667,-6.4194230556,"38,38D,38B,38A"
4746,Auburn Ave,Auburn Ave,53.3795111111,-6.3586388889,38
4747,Blanchardstown,Blanchardstown,53.3943327778,-6.3918525,"37,39,39A"
4749,Ballycullen Rd,Ballycullen Rd,53.2853919444,-6.3303938889,"49,65B"
4750,Ballycullen Rd,Ballycullen Rd,53.2824738889,-6.3302238889,"65B,49"
4751,Ballycullen Drive,Ballycullen Drive,53.2790238889,-6.3323461111,49
4754,Ballycullen Drive,Ballycullen Drive,53.278175,-6.3367811111,49
4755,Ballycullen Ave,Ballycullen Ave,53.2784688889,-6.3422138889,49
4756,Ballycullen Ave,Ballycullen Ave,53.2803319444,-6.339945,49
4757,Ballycullen Drive,Ballycullen Drive,53.2782930556,-6.3368638889,49
4758,Ballycullen Drive,Ballycullen Drive,53.2790969444,-6.3321319444,49
4759,Ballycullen Rd,Ballycullen Rd,53.28246,-6.3304,"49,65B"
4760,Ballycullen Rd,Ballycullen Rd,53.2853461111,-6.3305080556,"65B,49"
4762,Nangor Road,Nangor Road,53.3208980556,-6.4194288889,151
4763,Nangor Road,Nangor Road,53.3212119444,-6.4167388889,151
4765,Littlepace Rd,Littlepace Rd,53.4035322222,-6.4143811111,70
4766,Littlepace Rd,Littlepace Rd,53.4038730556,-6.4183991667,70
4767,Littlepace Rd,Littlepace Rd,53.4034730556,-6.4234975,70
4768,Littlepace Rd,Littlepace Rd,53.4037969444,-6.4262527778,70
4769,Littlepace Rd,Littlepace Rd,53.4035713889,-6.4234636111,70
4770,Littlepace Rd,Littlepace Rd,53.4039694444,-6.418215,70
4779,Kilmacud Rd,Kilmacud Rd,53.2831788889,-6.2089930556,"47,116,11"
4782,Gracefield Rd,Gracefield Rd,53.3825069444,-6.2025580556,27A
4788,Jamestown Rd,Jamestown Rd,53.3969347222,-6.2925061111,"9,83A,83"
4793,Cappagh Road,Cappagh Road,53.3922672222,-6.3208252778,"40D,40E"
4795,Fonthill Rd,Fonthill Rd,53.3524180556,-6.3955488889,"40,26"
4796,Fonthill Rd,Fonthill Rd,53.347365,-6.4059969444,"40,51D"
4797,Newlands Rd,Newlands Rd,53.3370619444,-6.4054819444,40
4798,Coldcut Rd,Coldcut Rd,53.3456141667,-6.3809202778,"40,26"
4799,Ballyfermot Rd,Ballyfermot Rd,53.3451936111,-6.3790736111,40
4800,Grange Road,Grange Road,53.39753889,-6.147733889,29A
4804,Grange Road,Grange Road,53.39852,-6.159953889,29A
4806,Grange Road,Grange Road,53.39832806,-6.155611111,29A
4825,Carpenterstown Pk,Carpenterstown Pk,53.37549111,-6.390223889,37
4830,Barnhill Rd,Barnhill Rd,53.27725417,-6.114466111,7D
4843,Brackenstown Rd,Brackenstown Rd,53.45963806,-6.250413056,"41,41X,41C"
4844,Kilmacanogue,Glencormack Road,53.17437583,-6.139282222,145
4847,Blackthorn Drive,Blackthorn Drive,53.279815,-6.213047778,11
4848,Blackthorn Drive,Blackthorn Drive,53.27781389,-6.218065,11
4854,Ardee St,Ardee St,53.33815194,-6.279086111,150
4855,O'Donovan Rd,O'Donovan Rd,53.33459806,-6.279298056,150
4856,Donore Ave,Donore Ave,53.33196306,-6.283493889,150
4857,Rutledge Terrace,Rutledge Terrace,53.334125,-6.282746111,150
4861,Rossmore Road,Rossmore Road,53.29663694,-6.321135,150
4862,Orwell Road,Orwell Road,53.29920694,-6.319525,150
4863,Rossmore Road,Rossmore Road,53.29929806,-6.319455,150
4864,Rossmore Road,Rossmore Road,53.29745306,-6.320135,150
4865,Rossmore Road,Rossmore Road,53.29616194,-6.321378056,150
4869,St. Colmcille's Way,St. Colmcille's Way,53.27911444,-6.318756389,15
4870,St. Colmcille's Way,St. Colmcille's Way,53.2766675,-6.330099167,15
4871,Killininny Rd,Killininny Rd,53.27611056,-6.336568611,65B
4872,Killininny Rd,Killininny Rd,53.27556194,-6.342348056,65B
4873,Killininny Rd,Killininny Rd,53.27503278,-6.346956944,65B
4874,Killininny Rd,Killininny Rd,53.27469722,-6.350628611,65B
4877,Firhouse Rd,Firhouse Rd,53.27656111,-6.35963,"65B,49"
4878,Firhouse Rd,Firhouse Rd,53.276805,-6.366431111,"49,65B"
4880,Firhouse Rd,Firhouse Rd,53.27689306,-6.366406111,"65B,49,77X"
4882,Killininny Rd,Killininny Rd,53.27479194,-6.35034,65B
4883,Killininny Rd,Killininny Rd,53.27513889,-6.346833056,65B
4884,Killininny Rd,Killininny Rd,53.27562833,-6.342600556,65B
4885,Killininny Rd,Killininny Rd,53.27621889,-6.336594444,65B
4886,St. Colmcille's Way,St. Colmcille's Way,53.27685944,-6.329686667,15
4887,St. Colmcille's Way,St. Colmcille's Way,53.27947278,-6.3180375,15
4888,Kennelsfort Rd,Kennelsfort Rd,53.34742972,-6.378928889,26
4890,Sycamore Rd,Sycamore Rd,53.3951675,-6.2908625,"83,83A,9"
4891,Grove Road,Grove Road,53.393105,-6.286863056,"83A,83"
4893,Diswellstown Rd,Diswellstown Rd,53.37015306,-6.392748889,37
4894,Diswellstown Rd,Diswellstown Rd,53.37210111,-6.398373889,37
4895,Diswellstown Rd,Diswellstown Rd,53.37423306,-6.401768056,37
4897,Diswellstown Rd,Diswellstown Rd,53.37215111,-6.398335,37
4898,Diswellstown Rd,Diswellstown Rd,53.37026694,-6.392761944,37
4899,Auburn Ave,Auburn Ave,53.37238306,-6.358543056,38
4900,Auburn Ave,Auburn Ave,53.37610694,-6.358573056,38
4901,Auburn Ave,Auburn Ave,53.37614694,-6.358415,38
4902,Auburn Ave,Auburn Ave,53.37336611,-6.358393056,38
4903,Blanchardstown Rd,Blanchardstown Rd,53.38666389,-6.401733056,"37,39"
